AQC00914000        2116R  2022S  1840S  1780R  1820R  1306R  1274R  1383R  1570S  2003S  2036R  2242R
USC00153223         409R   508R   445R   451R   490R   408S   405R   405R   335R   379R   446R   443R
USC00153230         333Q   316Q   405Q   421Q   529Q   437Q   451Q   377Q   309Q   317Q   353Q   358Q
USC00153246         408S   430S   450S   455S   573S   463S   490S   369S   375S   346S   431S   497S
USC00153252         371S   417S   465S   429S   563S   390S   471S   327S   339S   364S   429S   471S
USC00153382         365R   369R   400R   402R   497R   424R   416R   341R   380R   328R   407R   462R
USC00153389         311R   307R   427R   353R   516R   398R   475R   402R   267R   280R   353R   345R
USC00153391         303R   302R   387R   349R   504R   412R   496R   338R   257R   299R   328R   368R
USC00153398         309S   289C   370S   379S   538S   435C   465C   393S   288C   288S   351S   366S
USC00153430         393S   423C   459S   434S   585S   433S   498S   336S   363S   352S   408S   471S
USC00153435         374R   393R   447R   414R   567R   447R   499R   336R   328R   337R   402R   490R
USC00153629         375Q   392Q   455Q   462Q   524Q   410Q   462Q   425Q   354Q   306Q   386Q   423Q
USC00153712         341R   332R   360R   373S   491S   458S   419S   354S   301S   267S   346S   361R
USC00153714         391R   378R   404S   426S   530C   496C   475C   423C   330C   290S   354C   386R
USC00153741         355S   379R   388S   399S   511S   461R   453R   403R   362R   317R   366R   419R
USC00153744         381Q   365Q   424Q   384Q   560Q   459Q   478Q   342Q   311Q   317Q   368Q   430Q
USC00153762         313S   318R   435R   443S   526S   365S   359S   283S   303S   341S   420S   373S
USC00153768         312R   309S   444S   452S   526S   340S   395S   283S   323S   355S   414S   359R
USC00153798         367Q   413Q   436Q   495Q   584Q   428Q   438Q   311Q   357Q   392Q   465Q   531Q
USC00153929         363Q   413Q   438Q   418Q   578Q   425Q   450Q   349Q   356Q   377Q   404Q   470Q
USC00153994         380R   424R   443S   462S   568S   376S   431S   345S   349S   380S   466S   483R
USC00154138         326Q   318Q   384Q   363Q   482Q   436Q   492Q   376Q   348Q   308Q   345Q   372Q
USC00154208         440R   436R   455R   426S   576S   427R   430S   400S   401R   334R   450R   486R
USC00154369         339S   342S   426S   384C   562S   426C   488C   329C   349C   344S   383C   418S
USC00154375         375Q   520Q   420Q   485Q   586Q   505Q   432Q   389Q   350Q   378Q   477Q   535Q
USC00154620         348R   340R   431R   370R   519R   434R   476R   350R   366R   321R   355R   360R
USC00154703         331S   403S   430S   415S   568S   373R   458R   353S   328S   373S   387S   442S
USC00154732         316R   357R   407R   423R   537R   398R   383R   283R   365R   362R   404R   425R
USC00154755         381R   425R   471R   410R   618R   456R   486R   410R   395R   345R   407R   464R
USC00154848         292S   258S   365C   290C   443S   340S   412S   316S   253C   292S   283S   320S
USC00154857         328R   338R   411R   417R   550R   437R   407R   396R   339R   335R   348R   363R
USC00154905         397R   396R   431R   396S   541R   454R   432R   375S   375S   320S   423R   400R
USC00154946         301R   328R   358R   351R   507R   448R   411R   324R   327R   306R   371R   290R
USC00154948         318Q   318Q   398Q   356Q   488Q   403Q   495Q   370Q   309Q   292Q   347Q   367Q
USC00154955         327S   305S   411S   387S   471S   377S   354C   304S   325C   302S   359S   404S
USC00154958         345Q   354Q   433Q   438Q   542Q   408Q   448Q   328Q   327Q   374Q   413Q   439Q
USC00154967         409R   395R   418R   483R   479R   384R   422R   289R   322R   390R   421R   492R
USC00155067         352S   364S   462S   481C   550S   420S   399S   287S   328S   399S   423C   455S
USC00155072         359R   384R   448R   470R   498R   405R   408R   276R   323R   379R   430R   488R
USC00155097         345R   393R   462R   440S   542S   439R   457S   409S   401R   381S   433S   516S
USC00155111         398R   384R   405R   400R   485R   525R   542R   350R   382R   318R   419R   433R
USC00155165         458Q   437Q   446Q   451Q   575Q   468Q   456Q   389Q   366Q   350Q   429Q   485Q
USC00155175         334R   339R   375R   388R   472R   438R   450R   354R   324R   288R   323R   372R
USC00155235         408R   452S   450R   480S   573S   447S   422S   279S   358S   396S   445S   508S
USC00155243         338R   320S   441R   393S   537S   413S   465S   348S   309S   309S   343R   386S
USC00155370         337R   315R   416R   416R   423R   451R   442R   483R   356R   283R   275R   330R
USC00155389         418Q   403Q   439Q   428Q   458Q   428Q   489Q   474Q   345Q   273Q   380Q   454Q
USC00155444         376Q   391Q   459Q   431Q   586Q   362Q   419Q   343Q   352Q   370Q   414Q   488Q
USC00155524         424S   424S   434S   428S   516C   410S   422C   402C   361C   295C   407S   474S
USC00155559         321R   317R   422R   370R   504R   431R   517R   309R   309R   319R   386R   356R
USC00155640         345R   340R   396R   348R   500R   417R   459R   355R   331R   294R   384R   385R
USC00155648         395C   387C   438S   416C   520S   454C   427C   342S   336C   341C   401S   458S
USC00155694         412S   463S   474S   506S   575S   490S   427S   347S   351S   417S   529S   568S
USC00155757         335Q   434Q   444Q   502Q   556Q   465Q   438Q   322Q   350Q   406Q   482Q   552Q
USC00155834         370S   413R   436S   437S   582S   408C   427S   341S   387S   376S   430S   511S
USC00156012         320Q   322Q   413Q   376Q   497Q   420Q   496Q   360Q   304Q   315Q   334Q   359Q
USC00156028         364S   377R   413R   391S   529R   484S   470S   412S   348S   284R   402R   435R
USC00156091         341R   411R   464R   451R   584R   301R   376R   331R   346R   346R   406R   421R
USC00156094         333R   331R   409R   386R   520R   351R   377R   281R   308R   337R   397R   429R
USC00156117         329R   383R   408R   440R   518R   362R   396R   299R   355R   385R   417R   436R
USC00156136         306R   323R   396R   352S   438S   426S   428S   343S   323S   305S   339S   349R
USC00156155         351R   402R   406R   406R   523R   383R   390R   341S   355R   347R   423R   476R
USC00156170         349S   363S   424S   379C   540C   472C   480C   341S   337C   329C   376C   395C
USC00156360         337S   333S   364S   353R   450R   447R   405R   321R   320R   288S   325S   351S
USC00156379         403R   401R   429R   463R   554R   465R   474R   452R   373R   307R   380R   446R
USC00156495         305Q   382Q   419Q   363Q   525Q   347Q   381Q   354Q   248Q   338Q   389Q   378Q
USC00156580         358S   431S   430C   466S   529S   440C   446S   315C   310C   393S   470C   521C
USC00156595         308R   367S   395R   418R   492S   347S   407S   257S   302S   355S   414S   430R
USC00156624         345Q   344Q   366Q   385Q   482Q   461Q   468Q   400Q   333Q   304Q   357Q   389Q
USC00156810         391R   360R   400S   382R   523S   430S   451S   307S   230C   300R   382S   358R
USC00156882         319R   398R   387R   441S   549S   394S   423S   371S   330S   380S   429S   451R
USC00156988         335S   375S   399S   442S   631C   392S   414C   331C   340C   377C   413S   428S
USC00157049         391Q   409Q   422Q   443Q   554Q   431Q   419Q   341Q   379Q   368Q   427Q   489Q
USC00157134         327R   344R   403R   365R   440R   443R   457R   416R   338R   304R   359R   357R
USC00157215         396R   445S   443S   429C   581C   439S   415S   355S   391C   374C   429C   483R
USC00157234         331S   335S   433S   442S   541S   382C   389C   248S   346S   341S   392S   415S
USC00157300         305Q   429Q   453Q   453Q   601Q   467Q   411Q   305Q   360Q   366Q   423Q   521Q
USC00157324         358R   365R   449R   410R   566R   422R   428R   308R   312R   328R   360R   427R
USC00157334         346R   358R   433S   390S   510C   443S   367C   318S   285S   362S   375S   422R
USC00157431         359C   357S   415C   403S   510C   438C   490C   394C   316C   277C   342S   392S
USC00157441         362R   367R   426R   404R   561R   454R   534R   363R   333S   325S   371S   440S
USC00157508         430R   378R   402R   374R   536R   465R   482R   340R   344R   351R   428R   449R
USC00157510         417R   376R   438S   402S   540R   452S   465S   360S   350S   341S   407S   464R
USC00157592         317Q   284Q   375Q   319Q   413Q   373Q   250Q   285Q   321Q   292Q   402Q   398Q
USC00157604         340S   368S   426C   379C   560C   416C   419C   321C   365C   335C   349C   421S
USC00157648         345R   366R   412R   424R   503R   438R   392R   419R   379R   368R   398R   430R
USC00157652         366Q   343Q   424Q   392Q   533Q   441Q   515Q   370Q   327Q   324Q   383Q   395Q
USC00157677         444R   418S   427S   405S   558R   464R   518S   385S   367S   315S   411S   529R
USC00157800         369S   416S   440S   378S   523S   408S   411S   340S   361S   346S   417S   459S
USC00158070         420R   432R   464R   433R   524R   436R   466R   393R   385R   360R   438R   480R
USC00158348         381R   330R   411R   324R   455R   414R   491R   373R   335R   234R   296R   309R
USC00158432         327Q   325Q   396Q   377Q   512Q   407Q   490Q   359Q   311Q   301Q   341Q   361Q
USC00158446         310R   309S   389S   411S   544C   435S   415C   333S   283C   341S   362C   341R
USC00158551         351R   304S   374S   361S   490S   421S   493S   329S   304S   303S   338S   414S
USC00158555         372Q   381Q   436Q   462Q   536Q   435Q   424Q   310Q   355Q   397Q   452Q   461Q
USC00158709         423R   403R   467R   407R   507R   425R   419R   428R   376R   292R   388R   471R
USC00158714         302R   290R   424R   401R   477R   470R   395R   351R   318R   351R   340R   338R
USC00158824         374S   397S   439S   433S   573S   393S   398S   348S   354S   367C   425C   498S
USC00160007         508C   436C   427S   401C   462C   757C   587S   586S   554C   550C   423C   486C
USC00160012         553Q   515Q   563Q   446Q   525Q   667Q   669Q   594Q   475Q   438Q   452Q   507Q
USC00160016         516R   419R   480R   455R   502R   647R   641R   567R   437R   370R   446R   470R
USC00160021         560S   518C   531C   469S   479C   668C   674C   742S   517C   387C   434S   492C
USC00160098         544C   534S   530C   455C   472C   538S   439C   411C   393C   527C   619C   624C
USC00160103         527R   518R   468R   439R   488R   584R   409R   317R   423R   542R   585R   636R
USC00160205         564S   575S   556S   479S   503S   584S   617S   603S   402C   455C   413S   566S
USC00160238         513R   559R   570R   458R   458R   479R   576R   506R   407R   436R   405R   515R
USC00160277         497Q   513Q   499Q   476Q   483Q   503Q   357Q   284Q   357Q   506Q   542Q   558Q
USC00160349         519S   541C   510C   432C   487S   471C   362C   322C   352C   458S   529C   589S
USC00160462         638S   552S   451S   466S   506S   636S   448S   537S   487S   510S   426S   602S
USC00160537         547R   527R   525S   503S   509S   446S   468S   301S   332S   520R   489S   564R
USC00160546         608R   552R   480R   458R   520R   654R   539R   619R   455R   484R   468R   577R
USC00160548         556R   568R   471R   470R   509R   706R   620R   625R   476R   459R   455R   565R
USC00160558         541C   546C   480C   463C   516C   643C   599C   686C   458C   501C   444C   552C
USC00160565         505S   468C   398S   437C   386C   666S   588S   565S   500S   492S   423S   512S
USC00160617         629C   545C   454C   435C   521S   591C   482S   455C   483C   562S   582C   606S
USC00160658         557Q   417Q   369Q   385Q   494Q   747Q   660Q   505Q   589Q   533Q   470Q   492Q
USC00160718         434Q   484Q   470Q   422Q   479Q   541Q   364Q   292Q   367Q   503Q   482Q   509Q
USC00160800         597S   590S   540S   491S   505S   493S   415S   301S   393S   515C   560S   608S
USC00160945         557R   558S   569R   433R   423S   681R   603R   557R   450S   434S   472R   516R
USC00161232         541S   475S   518C   450C   459C   501S   435S   351S   443C   492C   619C   600C
USC00161235         534R   546R   534R   473R   669R   474R   434R   346R   444R   465R   656R   615R
USC00161246         558R   558R   437R   455R   489R   674R   513R   554R   454R   530R   407R   566R
USC00161287         588C   526C   490C   465C   538C   544S   388C   378C   476S   541S   573C   574S
USC00161365         538R   526R   446R   456R   532R   637R   502R   440R   417R   545R   446R   558R
USC00161411         505C   525S   508S   443S   532C   466C   353S   331C   331S   472S   513C   560C
